"Repetition","Fold","auc.multiclass","auc.background","auc.exploit","auc.fuzzer","auc.generic","auc.weighted","acc.overall","acc.background","acc.exploit","acc.fuzzer","acc.generic"
20,1,0.984,1,0.989,0.98,1,0.996,0.937716262975779,0.996932515337423,0.889459815546772,0.866748667486675,0.997652582159624
16,1,0.98,1,0.984,0.976,1,0.994,0.923611111111111,0.996913580246914,0.874246395806029,0.925664588119462,0.969135802469136
11,5,0.982,1,0.99,0.971,1,0.995,0.940972222222222,0.992957402063873,0.904946524064171,0.882352941176471,0.993506493506493
12,1,0.977,1,0.982,0.973,1,0.994,0.930555555555556,0.99609375,0.8828125,0.837037037037037,0.993589743589744
15,3,0.971,1,0.982,0.959,1,0.992,0.923611111111111,0.99609375,0.888001638001638,0.804029304029304,0.981012658227848
19,3,0.977,1,0.986,0.966,1,0.994,0.930555555555556,0.993827160493827,0.878107353800221,0.851102941176471,0.997652582159624
15,5,0.973,1,0.982,0.961,0.999,0.993,0.926573426573427,0.989781746031746,0.882671734234234,0.812578616352201,0.997630331753554
14,4,0.978,1,0.985,0.968,1,0.994,0.944250871080139,0.99609375,0.903629579375848,0.909436274509804,0.993506493506493
16,3,0.973,1,0.986,0.956,1,0.993,0.923344947735192,0.988461538461539,0.890202934320581,0.844090909090909,0.981012658227848
20,2,0.975,1,0.986,0.96,1,0.993,0.930313588850174,0.988461538461539,0.912955171913535,0.849169741697417,0.975
16,5,0.98,1,0.983,0.98,0.999,0.995,0.930313588850174,0.99609375,0.881886024423338,0.904761904761905,0.978376886271623
16,4,0.972,1,0.978,0.965,1,0.993,0.9198606271777,0.996875,0.86305012631299,0.809169764560099,0.992990654205608
11,4,0.963,1,0.975,0.95,0.999,0.99,0.913194444444444,0.992248062015504,0.872767857142857,0.855524475524476,0.960987449680322
17,2,0.985,1,0.988,0.981,1,0.996,0.944444444444444,1,0.914145018555524,0.837121212121212,0.997652582159624
20,3,0.964,1,0.975,0.948,1,0.99,0.930555555555556,0.996913580246914,0.878107353800221,0.839194139194139,1
20,4,0.986,1,0.987,0.988,1,0.996,0.944055944055944,0.99609375,0.909513274336283,0.904198698994678,0.981012658227848
20,5,0.979,1,0.989,0.966,1,0.995,0.947735191637631,0.996124031007752,0.913364993215739,0.904761904761905,0.993506493506493
12,2,0.978,1,0.986,0.969,1,0.994,0.916376306620209,0.992248062015504,0.876007252215955,0.905241935483871,0.963414634146341
15,4,0.977,1,0.983,0.971,1,0.994,0.944444444444444,0.99609375,0.904173853052777,0.874290745450988,1
12,4,0.974,1,0.987,0.954,1,0.993,0.934027777777778,0.996124031007752,0.902901785714286,0.837037037037037,0.984643318766542
12,3,0.971,1,0.981,0.96,1,0.993,0.93006993006993,1,0.899218570443576,0.793416030534351,0.987179487179487
13,1,0.978,1,0.989,0.964,1,0.994,0.930313588850174,0.98904284591195,0.893894165535957,0.865384615384615,0.987179487179487
12,5,0.972,1,0.981,0.956,0.999,0.992,0.930555555555556,0.992957402063873,0.888001638001638,0.827611940298507,0.997652582159624
13,2,0.986,1,0.989,0.981,0.999,0.996,0.937716262975779,0.996932515337423,0.897880146759071,0.854553903345725,0.991148002940456
13,4,0.973,1,0.98,0.966,1,0.993,0.912891986062718,0.992937992125984,0.868264088852324,0.770588235294118,0.981012658227848
13,5,0.978,1,0.988,0.965,1,0.994,0.947552447552448,0.992248062015504,0.910739330795432,0.932785888077859,1
14,2,0.982,1,0.988,0.973,1,0.995,0.944055944055944,0.992918338037934,0.912865990990991,0.868366500829187,0.993506493506493
17,5,0.971,1,0.983,0.956,1,0.993,0.920138888888889,0.992248062015504,0.878342245989305,0.800724637681159,0.987341772151899
17,3,0.968,1,0.981,0.95,1,0.992,0.937062937062937,0.992248062015504,0.90596198156682,0.847821801695249,0.991040100250627
17,4,0.987,1,0.99,0.983,1,0.996,0.947916666666667,0.996894409937888,0.900462962962963,0.937902097902098,1
18,1,0.979,1,0.988,0.965,1,0.994,0.940766550522648,1,0.922961042600897,0.902930402930403,0.963414634146341
18,2,0.982,1,0.99,0.971,1,0.995,0.940766550522648,0.992248062015504,0.917410714285714,0.884109778597786,0.981012658227848
18,4,0.97,1,0.982,0.952,1,0.992,0.926829268292683,0.98904284591195,0.887926403438088,0.855418304323414,0.987179487179487
19,1,0.977,1,0.983,0.971,1,0.994,0.923611111111111,1,0.876612625043118,0.839194139194139,0.975308641975309
18,3,0.978,1,0.984,0.975,1,0.994,0.930313588850174,1,0.888509544787078,0.81265664160401,0.987179487179487
19,2,0.972,1,0.985,0.954,1,0.993,0.926573426573427,0.984732824427481,0.885912698412698,0.856397914159647,1
2,4,0.967,1,0.985,0.943,1,0.992,0.934027777777778,0.99609375,0.904946524064171,0.971326164874552,0.963855421686747
17,1,0.97,1,0.977,0.964,1,0.992,0.916376306620209,1,0.866597366597367,0.827838827838828,0.969135802469136
19,4,0.984,1,0.989,0.978,1,0.996,0.944444444444444,0.99609375,0.907657657657658,0.915441176470588,0.987179487179487
