"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
19,3,0.843,0.993,0.926,0.932,0.957,0.997,0.922,0.667,0.978,0.862975951903808,0.949790359723656,0.770842090514222,0.781773827509303,0.815112220604211,0.981951009591356,NA,NA
4,2,0.872,0.991,0.909,0.931,0.948,0.996,0.917,0.946,0.976,0.86433041301627,0.947775870302998,0.833861519804132,0.787277908805031,0.82500026475899,0.981964070377588,NA,NA
12,3,0.855,0.992,0.898,0.931,0.949,0.996,0.918,0.872,0.976,0.86229344016024,0.953325087610802,0.788279318868443,0.779771727172717,0.802701628045682,0.982770033782756,NA,NA
5,1,0.84,0.992,0.92,0.933,0.957,0.997,0.915,0.647,0.978,0.85828743114672,0.952025146367214,0.763528547439127,0.77437638050815,0.795389887329431,0.981961775287795,NA,NA
6,4,0.852,0.992,0.92,0.934,0.946,0.997,0.912,0.808,0.977,0.86011011011011,0.948323108971598,0.712445227902292,0.780553848989372,0.828577718763545,0.980401194539017,0.988986232790989,NA
6,3,0.843,0.992,0.933,0.934,0.959,0.996,0.916,0.644,0.978,0.870490981963928,0.952244263304252,0.788275704144722,0.797529558225974,0.825257115305013,0.981680400315466,0.98910047607116,NA
6,1,0.833,0.992,0.922,0.925,0.95,0.997,0.916,0.733,0.976,0.85828743114672,0.949397685551453,0.729169149288315,0.775107612408179,0.808185788540204,0.981297890527216,0.989105935386927,NA
18,5,0.86,0.993,0.936,0.932,0.952,0.997,0.915,0.919,0.978,0.861006761833208,0.953110976129389,0.817826579411024,0.77976120928874,0.80676333975303,0.979312866613295,NA,NA
11,4,0.855,0.992,0.903,0.929,0.954,0.997,0.913,0.893,0.977,0.861542313470205,0.95008789092253,0.651160395495743,0.779886327805257,0.816953589046612,0.983377700190454,NA,NA
12,5,0.868,0.993,0.929,0.94,0.953,0.997,0.908,0.901,0.979,0.868955149085442,0.956361881483745,0.788273895416753,0.793052306419718,0.825067892769756,0.981284258167366,0.989097744360902,NA
11,2,0.859,0.991,0.927,0.928,0.95,0.996,0.907,0.906,0.976,0.858894170627971,0.948098964424692,0.786454330475909,0.778114759239824,0.809957214203057,0.981449462107818,0.989114114114114,NA
11,5,0.846,0.993,0.939,0.939,0.963,0.996,0.898,0.718,0.979,0.871557336004006,0.952777518542949,0.754479642347752,0.797282398329875,0.843185109236511,0.982303548679529,NA,NA
12,1,0.816,0.991,0.905,0.932,0.949,0.997,0.917,0.633,0.977,0.860540811216825,0.943780243449853,0.756911062136698,0.782659026900267,0.819917747739575,0.982386534612013,0.989105935386927,NA
13,2,0.842,0.991,0.901,0.929,0.951,0.997,0.898,0.86,0.976,0.854244928625094,0.946883120463741,0.727497336962954,0.772564884476695,0.776108069461572,0.983040437008504,NA,NA
11,1,0.861,0.992,0.903,0.937,0.949,0.997,0.923,0.952,0.978,0.863260706235913,0.9491252880927,0.679453733970329,0.782061490659961,0.844633859849773,0.982363477608043,0.988977955911824,NA
13,1,0.857,0.992,0.938,0.928,0.95,0.996,0.921,0.892,0.977,0.86122244488978,0.952159041246741,0.753562938863146,0.780325689131328,0.812545998092798,0.978016152908394,NA,NA
15,2,0.837,0.991,0.915,0.93,0.955,0.996,0.895,0.731,0.976,0.863010267968946,0.952412341227663,0.696864769579451,0.780543673270382,0.83044481948692,0.98284481885514,0.488977955911824,NA
17,5,0.862,0.992,0.907,0.933,0.955,0.997,0.907,0.955,0.978,0.864114114114114,0.950824259093322,0.770110608345903,0.783680530784048,0.814540410543857,0.983875016710779,NA,NA
13,3,0.831,0.992,0.927,0.932,0.953,0.996,0.906,0.687,0.977,0.866299449173761,0.950415111030924,0.782052300562728,0.786935239178875,0.836435919659344,0.981620471924812,0.989228456913828,NA
14,1,0.865,0.992,0.927,0.931,0.951,0.998,0.911,0.956,0.978,0.864012021036814,0.953361650874363,0.859250879839115,0.781320828022651,0.808924987996602,0.982290436835891,NA,NA
14,5,0.824,0.993,0.902,0.931,0.945,0.997,0.91,0.675,0.976,0.860255447032306,0.952993405481849,0.687969554265688,0.779836985357587,0.801683553498221,0.980191196631414,0.989103206412826,NA
18,2,0.854,0.991,0.928,0.932,0.945,0.997,0.924,0.807,0.977,0.860505885299274,0.949027439484976,0.798134171907757,0.781377288085146,0.818777089156236,0.977894558422715,0.989103206412826,NA
18,1,0.848,0.991,0.898,0.932,0.95,0.996,0.913,0.876,0.976,0.85978968452679,0.950879666935267,0.651160395495743,0.781229927581864,0.797618041072469,0.982365624728095,NA,NA
19,4,0.85,0.993,0.926,0.937,0.958,0.996,0.896,0.846,0.978,0.867300951427141,0.95537113116198,0.770232506147999,0.787012550728508,0.823198962516503,0.984219516920428,NA,NA
19,1,0.861,0.991,0.915,0.927,0.95,0.997,0.918,0.942,0.976,0.862327909887359,0.949991139290356,0.792336683417085,0.781338145159345,0.820359792073995,0.980804668304668,0.988983475212819,NA
19,2,0.858,0.992,0.926,0.93,0.947,0.995,0.916,0.884,0.976,0.86079118678017,0.951119343657583,0.816111760268603,0.781146741051531,0.813391513286222,0.979405869908369,NA,NA
13,5,0.875,0.993,0.939,0.936,0.954,0.997,0.919,0.937,0.979,0.866049073610416,0.95516020899617,0.742817540322581,0.78437341509521,0.82675144490213,0.98284703744194,NA,NA
18,3,0.836,0.992,0.922,0.933,0.962,0.996,0.908,0.743,0.978,0.864046069103655,0.944519151760319,0.686521909233177,0.783959667453095,0.850646613027754,0.983475178696811,0.989103206412826,NA
15,1,0.839,0.991,0.921,0.934,0.95,0.997,0.918,0.723,0.977,0.864296444667001,0.949029755746689,0.710831447963801,0.785261427676894,0.835431143077736,0.981900867744233,NA,NA
15,4,0.87,0.992,0.934,0.932,0.952,0.996,0.912,0.933,0.977,0.857214428857715,0.946486728999751,0.706605029319711,0.776647316475283,0.817503397373557,0.979037105733705,0.98910047607116,NA
13,4,0.843,0.992,0.905,0.941,0.953,0.997,0.911,0.695,0.979,0.871153365023768,0.947499248159383,0.817708071410611,0.800004354679297,0.854098030965782,0.982841058237789,0.988988988988989,NA
16,2,0.862,0.992,0.904,0.929,0.958,0.996,0.918,0.887,0.977,0.865514650638618,0.951840076419052,0.79990336296869,0.788180424734342,0.827775398220381,0.97931397059781,NA,NA
15,3,0.827,0.992,0.921,0.938,0.954,0.998,0.888,0.649,0.978,0.866833541927409,0.95257632808914,0.784489633173844,0.791591040465865,0.810215499534082,0.982967877121528,NA,NA
14,4,0.866,0.991,0.908,0.933,0.953,0.998,0.922,0.904,0.978,0.861326658322904,0.944011609015449,0.753568457463111,0.783550469483568,0.831527449435251,0.983477539196603,NA,NA
16,3,0.876,0.992,0.934,0.936,0.95,0.997,0.891,0.974,0.978,0.860826032540676,0.9460623936153,0.81364158323465,0.786203243580991,0.815422414581516,0.97810458738064,0.989108662994492,NA
15,5,0.841,0.992,0.912,0.927,0.952,0.996,0.93,0.73,0.977,0.85960960960961,0.947883412097051,0.842097340692423,0.779991225137891,0.811916933864733,0.978369771415976,NA,NA
14,3,0.818,0.992,0.922,0.936,0.952,0.996,0.895,0.647,0.977,0.861326658322904,0.947722597778082,0.702729535105369,0.784841994587122,0.817139750188067,0.981644328666228,NA,NA
16,1,0.833,0.991,0.928,0.93,0.953,0.996,0.918,0.726,0.977,0.864080100125156,0.950576736774439,0.729171079106216,0.782321066453908,0.832005331608401,0.982589491701409,0.988983475212819,NA
