"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
13,3,0.851,0.985,0.899,0.901,0.96,0.993,0.891,0.768,0.968,0.840761141712569,0.929067299541239,0.991482965931864,0.753692696590831,0.795901898649337,0.978791992510188,0.655767142737827,NA
13,4,0.815,0.986,0.884,0.914,0.962,0.995,0.887,0.616,0.971,0.841381035776833,0.926702135764533,0.574788472815615,0.75798806758648,0.823700004684117,0.974855414886336,0.588977955911824,NA
13,5,0.832,0.983,0.88,0.9,0.949,0.995,0.885,0.696,0.967,0.838257386079119,0.924698691037071,0.641591365461847,0.758446323275163,0.808941615128146,0.973127155737954,0.488969666583104,NA
14,1,0.849,0.984,0.881,0.9,0.951,0.995,0.868,0.7,0.967,0.835962935136489,0.924462949710494,0.741476560541489,0.754518201077139,0.786481794390983,0.973970473970474,0.655881615249561,NA
14,2,0.838,0.985,0.891,0.908,0.966,0.994,0.901,0.713,0.97,0.844016024036054,0.927625023821953,0.634204020208535,0.758435846048835,0.840885277925768,0.974522995992878,0.488980716253444,NA
14,3,0.838,0.987,0.894,0.911,0.949,0.995,0.845,0.638,0.969,0.8360450563204,0.922226551350412,0.658024382097528,0.759747816301004,0.796448505515965,0.973152668110352,0.65564462257849,NA
14,4,0.835,0.983,0.876,0.906,0.958,0.993,0.886,0.678,0.968,0.840300375469337,0.921442789227708,0.777439461240865,0.759295316499997,0.81805011563089,0.977071354367994,0.655769873079492,NA
14,5,0.797,0.984,0.882,0.896,0.959,0.994,0.877,0.514,0.966,0.836463811670423,0.922949210413999,0.634327288366425,0.750548791678322,0.80431669330973,0.976906210935474,0.614095011281023,NA
15,1,0.823,0.985,0.914,0.911,0.958,0.995,0.892,0.483,0.971,0.841011517275914,0.92644472818245,0.658022216654139,0.757531241077428,0.811926317007128,0.976563766852612,0.614097744360902,NA
15,2,0.828,0.984,0.896,0.899,0.954,0.995,0.869,0.65,0.967,0.83496118206862,0.922467200174206,0.991357715430862,0.749416967152826,0.811078077983245,0.972737865682332,0.739220355978942,NA
15,3,0.846,0.983,0.88,0.908,0.96,0.994,0.845,0.743,0.968,0.84630788485607,0.92748284672953,0.824691048764195,0.764981516511504,0.814245745854506,0.979443521594684,0.655769873079492,NA
15,4,0.857,0.983,0.876,0.905,0.959,0.993,0.879,0.87,0.968,0.836923847695391,0.920431629636941,0.616349047141424,0.758369124583691,0.810374646828351,0.973793002621913,0.655761677947689,NA
15,5,0.811,0.987,0.884,0.896,0.954,0.996,0.876,0.511,0.968,0.833083083083083,0.924021029100655,0.741362043064597,0.746078750466692,0.78956176780512,0.973740473113199,0.572305764411028,NA
16,1,0.825,0.985,0.904,0.906,0.96,0.993,0.914,0.495,0.969,0.838548185231539,0.926356836162056,0.679097692500627,0.753942872619693,0.810534621088254,0.974177949709865,0.65564462257849,NA
16,2,0.834,0.986,0.88,0.904,0.959,0.996,0.862,0.719,0.969,0.83671424993739,0.924011381422781,0.705881298831625,0.749213304957606,0.810524342892949,0.973952036955133,0.614095011281023,NA
16,3,0.824,0.985,0.885,0.905,0.957,0.994,0.886,0.543,0.968,0.838047559449312,0.923259423308417,0.658017882510237,0.759426701299254,0.807518778276319,0.973651386473499,0.488977955911824,NA
16,4,0.856,0.983,0.86,0.899,0.953,0.994,0.885,0.935,0.966,0.839969947407964,0.925899430447626,0.491219267436026,0.762083560349586,0.803071874549239,0.975570350934011,0.560515375241918,NA
16,5,0.824,0.984,0.876,0.905,0.957,0.994,0.877,0.573,0.968,0.839258888332499,0.926313316857904,0.491234660656148,0.755383987097041,0.794146852623438,0.979144761060815,0.488972431077694,0.499624342599549
